Id,Label,timeset,eigencentrality,indegree,outdegree,Degree,clustering,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,modularity_class
ABM,,,0.000751,1,1,2,0,0.000082,10,0.222391,0.233343,0,1,1,2,7
CNS,,,0.032842,29,30,59,0.162069,0.001317,9,0.285968,0.311084,0.007451,54,56,110,7
ABQ,,,0.107932,23,23,46,0.699605,0.000528,9,0.301841,0.32663,0.001161,41,42,83,8
BWI,,,0.263913,72,72,144,0.438772,0.001377,9,0.319247,0.352193,0.000405,144,142,286,8
CNM,,,0.001699,1,1,2,0,0.000064,10,0.231873,0.242372,0,1,1,2,8
DAL,,,0.045678,21,24,45,0.317029,0.000466,9,0.287258,0.310285,0.000369,36,39,75,8
DEN,,,0.368282,168,169,337,0.127254,0.004261,8,0.343435,0.386792,0.026171,374,361,735,8
HOU,,,0.152789,47,49,96,0.423895,0.000866,9,0.300927,0.32892,0.0002,70,79,149,8
IAH,,,0.470847,168,169,337,0.141695,0.003529,9,0.367985,0.417548,0.022962,242,243,485,8
JFK,,,0.687505,160,162,322,0.194425,0.003028,8,0.384187,0.432558,0.025764,455,456,911,8
LAM,,,0.001699,1,1,2,0,0.000064,10,0.231873,0.242372,0,1,1,2,8
LAS,,,0.371182,133,133,266,0.190134,0.002712,9,0.34382,0.385286,0.012308,252,246,498,8
LAX,,,0.527342,148,149,297,0.180528,0.003342,8,0.386208,0.42927,0.066164,498,492,990,8
MCI,,,0.194725,43,43,86,0.709856,0.000837,9,0.307112,0.335783,0.000964,77,82,159,8
MDW,,,0.216164,75,74,149,0.318919,0.001422,9,0.306415,0.337875,0.001038,132,139,271,8
MSP,,,0.353502,130,130,260,0.191251,0.002888,9,0.341905,0.381747,0.013396,212,218,430,8
OAK,,,0.107181,33,34,67,0.431092,0.000681,9,0.305335,0.332397,0.000351,57,54,111,8
PDX,,,0.201377,57,57,114,0.372051,0.001245,9,0.327292,0.358492,0.00284,117,113,230,8
PHX,,,0.284021,91,91,182,0.314042,0.001908,9,0.326217,0.361362,0.004873,257,251,508,8
SAN,,,0.231721,56,55,111,0.50188,0.001081,9,0.325525,0.356072,0.000838,119,119,238,8
SEA,,,0.333613,94,90,184,0.251201,0.002252,8,0.355961,0.392668,0.045268,202,201,403,8
SFO,,,0.414752,104,104,208,0.265476,0.002163,8,0.360559,0.401105,0.011721,250,249,499,8
SLC,,,0.241753,91,90,181,0.232203,0.00216,9,0.324649,0.36015,0.007696,137,141,278,8
ABR,,,0.00542,1,1,2,0,0.000063,10,0.25481,0.269109,0,1,1,2,8
ABS,,,0.000284,1,1,2,0,0.000087,10,0.208831,0.217007,0,1,1,2,6
ASW,,,0.00983,3,3,6,0.333333,0.000151,9,0.263931,0.280836,0.000576,4,4,8,6
ABT,,,0.0106,3,3,6,1,0.000098,10,0.258972,0.275207,0,3,3,6,6
DMM,,,0.141598,48,48,96,0.35461,0.000995,9,0.312078,0.343801,0.000678,82,82,164,6
JED,,,0.294429,98,109,207,0.1457,0.002148,9,0.345544,0.387697,0.015105,183,194,377,6
RUH,,,0.25879,81,80,161,0.222994,0.001793,9,0.330949,0.370901,0.005971,139,137,276,6
ADD,,,0.213374,72,67,139,0.165946,0.001996,9,0.324088,0.361731,0.012188,109,105,214,6
BNI,,,0.003562,2,2,4,1,0.000097,10,0.242723,0.257018,0,2,2,4,4
