year,Source,Target,numberacquisitions
2000,813,561,1
2000,334,423,39
2000,333,522,1
2000,445,454,1
2000,221,237,1
2000,522,524,24
2000,424,325,6
2000,813,711,2
2000,334,928,1
2000,339,621,2
2000,424,451,1
2000,424,211,1
2000,523,454,5
2000,336,331,4
2000,621,517,1
2000,335,334,14
2000,488,493,2
2000,621,325,4
2000,322,511,2
2000,334,523,16
2000,525,611,1
2000,713,621,1
2000,221,454,1
2000,523,611,3
2000,512,334,4
2000,519,519,5
2000,713,512,1
2000,621,623,2
2000,517,927,1
2000,611,541,7
2000,523,448,3
2000,237,493,1
2000,522,511,3
2000,533,325,1
2000,423,518,2
2000,541,624,1
2000,333,326,6
2000,331,423,2
2000,211,447,1
2000,339,335,1
2000,525,623,2
2000,721,211,1
2000,523,314,6
2000,523,711,16
2000,424,531,2
2000,611,531,1
2000,339,337,1
2000,334,236,2
2000,325,332,2
2000,483,452,1
2000,211,325,2
2000,453,454,4
2000,326,423,7
2000,336,517,1
2000,621,315,1
2000,525,541,3
2000,551,327,1
2000,488,484,3
2000,327,334,8
2000,327,523,1
2000,334,532,1
2000,339,446,1
2000,332,493,1
2000,621,446,2
2000,621,621,64
2000,541,531,3
2000,423,333,5
2000,314,448,1
2000,334,624,1
2000,447,423,1
2000,326,325,7
2000,541,926,1
2000,523,237,8
2000,334,541,166
2000,336,337,1
2000,333,541,14
2000,492,423,1
2000,713,721,5
2000,326,339,2
2000,335,517,1
2000,335,333,6
2000,334,519,3
2000,621,561,1
2000,923,611,1
2000,621,334,6
2000,518,541,7
2000,237,236,6
2000,237,486,1
2000,334,484,1
2000,445,445,19
2000,326,327,1
2000,314,322,1
2000,711,517,1
2000,523,486,1
2000,339,221,1
2000,334,323,1
2000,532,453,1
2000,446,446,7
2000,333,483,1
2000,237,453,1
2000,541,922,1
2000,236,213,1
2000,236,236,31
2000,325,541,29
2000,424,339,3
2000,423,561,5
2000,423,454,2
2000,484,484,12
2000,237,334,2
2000,323,541,2
2000,493,561,1
2000,531,525,1
2000,334,314,1
2000,523,511,22
2000,521,523,1
2000,561,323,8
2000,326,336,2
2000,336,541,2
2000,334,327,3
2000,515,512,7
2000,442,335,1
2000,332,324,1
2000,445,311,1
2000,336,483,1
2000,332,327,6
2000,562,423,1
2000,333,512,1
2000,211,212,3
2000,237,517,4
2000,424,561,2
2000,511,517,11
2000,454,451,2
2000,621,524,3
2000,325,115,2
2000,336,324,1
2000,522,441,1
2000,213,541,2
2000,237,111,1
2000,315,316,1
2000,336,532,1
2000,486,531,1
2000,423,221,1
2000,561,486,1
2000,454,621,3
2000,711,541,1
2000,522,561,12
2000,519,511,7
2000,523,624,1
2000,237,721,1
2000,221,493,1
2000,926,517,2
2000,339,523,1
2000,325,423,3
2000,113,423,1
2000,335,541,5
2000,484,324,1
2000,321,322,1
2000,453,523,1
2000,453,511,1
2000,523,812,16
2000,312,312,19
2000,325,339,5
2000,339,334,24
2000,423,531,2
2000,331,331,32
2000,424,111,2
2000,531,313,1
2000,423,481,1
2000,561,922,2
2000,325,517,4
2000,562,484,1
2000,336,561,4
2000,339,524,1
2000,316,448,1
2000,518,611,1
2000,336,335,1
2000,488,541,3
2000,334,337,2
2000,922,561,2
2000,524,522,6
2000,326,334,2
2000,812,532,1
2000,311,312,2
2000,511,621,1
2000,515,711,4
2000,523,322,10
2000,713,334,4
2000,561,532,6
2000,238,324,1
2000,331,541,1
2000,424,722,1
2000,424,335,1
2000,335,524,1
2000,523,115,2
2000,446,325,3
2000,334,812,1
2000,518,524,1
2000,532,423,1
2000,451,423,1
2000,336,326,3
2000,454,334,2
2000,331,335,1
2000,444,541,1
2000,518,517,2
2000,339,453,2
2000,339,333,4
2000,452,452,7
2000,512,515,3
2000,334,446,1
2000,561,541,50
2000,221,332,4
2000,339,339,45
2000,451,523,1
2000,322,332,2
2000,522,325,5
2000,515,611,1
2000,926,541,1
2000,453,611,1
2000,333,335,12
2000,454,211,3
2000,424,488,3
2000,333,325,2
2000,111,311,1
2000,454,445,1
2000,332,236,1
2000,334,335,18
2001,452,452,9
2001,621,518,1
2001,327,333,1
2001,333,621,2
2001,334,519,1
2001,551,237,1
2001,522,551,14
2001,519,519,2
2001,511,327,1
2001,323,313,1
2001,484,541,1
2001,493,493,8
2001,525,336,1
